scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 16:00,4.829484
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 17:00,4.6531405
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 18:00,5.0704303
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 19:00,4.8734593
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 20:00,4.2309885
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 21:00,3.4752436
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 22:00,3.1129391
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 23:00,2.8424716
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 01:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 02:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 03:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 04:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 05:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 06:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 07:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 08:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 09:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 10:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 11:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 12:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 13:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 14:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 15:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 16:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 17:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 18:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 19:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 20:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 21:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 22:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.02.2050 23:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 00:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 01:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 02:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 03:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 04:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 05:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 06:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 07:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 08:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 09:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 10:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 11:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 12:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 13:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 14:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 15:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 16:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 17:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 18:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 19:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 20:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 21:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 22:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,battery_in,CH,seseth,GW,typical-day,01.07.2050 23:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 01:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 02:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 03:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 04:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 05:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 06:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 07:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 08:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 09:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 10:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 11:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 12:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 13:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 14:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 15:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 16:00,0
